keys;en;fr
AANDRISK_THREAD_SUM_UP;Bianca wants to forget the memory of her employee kissing with a Varanid.;Bianca veut oublier le souvenir de son employé qui embrasse un.e varanide.
AANDRISK_START_MEMORY_TITLE;Memno-manager;Memno-manager
AANDRISK_START_MEMORY_DESC;Today I sent an human employee to a memory fixer.;J'ai envoyé un employé humain chez un réparateur de mémoire.
AANDRISK_INT1_MEMORY_TITLE;Alien kiss;Patin alien
AANDRISK_INT1_MEMORY_DESC;I remember a human making out with an alien.;Je me souviens d'un humain embrassant un alien.
AANDRISK_END_MEMORY_TITLE;Losing control;Perte de contrôle
AANDRISK_END_MEMORY_DESC;The situation is not under my control. I feel disgusted and infuriated.;Cette situation n'est pas ce que j'avais prévu. Je suis dégoûtée et furieuse.
ALZHEIMER1_THREAD_SUM_UP;Retrieve the password of Prima's precious digiphone.;Récupérez le mot de passe du précieux digiphone de Prima.
ALZHEIMER1_START_MEMORY_TITLE;Digiphone;Digiphone
ALZHEIMER1_START_MEMORY_DESC;I own a digiphone filled with precious memories of my family, my friends, my trips...;Je possède un digiphone plein de souvenirs qui me sont chers: famille, amis, voyages...
ALZHEIMER1_INT1_MEMORY_TITLE;[Corrupted];[Corrompu]
ALZHEIMER1_INT1_MEMORY_DESC;*m%|\|wh4|_3*;*m%|\|wh4|_3*
ALZHEIMER1_END_MEMORY_TITLE;Fear of loss;Crainte
ALZHEIMER1_END_MEMORY_DESC;I am so scared of losing these memories!;Je suis tellement effrayée de perdre ses souvenirs.
ALZHEIMER2_THREAD_SUM_UP;Retrieve the location of Vera Prima's precious scrib.;Retrouvez le précieux digiphone de Vera Prima.
ALZHEIMER2_INT1_MEMORY_TITLE;[Corrupted];[Corrompu]
ALZHEIMER2_INT1_MEMORY_DESC;U%r?aDa8%?W?w0%Y;U%r?aDa8%?W?w0%Y
CAKESTORY1_THREAD_SUM_UP;Tutor wants to erase a traumatic memory with his brother;Tutor souhaite effacer un mauvais souvenir de son frère pour renouer avec lui
CAKESTORY1_START_MEMORY_TITLE;Brotherhood;Frères proches
CAKESTORY1_START_MEMORY_DESC;Fond memories of brothers;Des souvenirs heureux entre frères
CAKESTORY1_INT1_MEMORY_TITLE;Cake splash;Gâteau explosé
CAKESTORY1_INT1_MEMORY_DESC;A cake splashed agressively by a drunken brother;Un gâteau détruit par un frère ivre
CAKESTORY1_END_MEMORY_TITLE;Broken brothers;Fraternité brisée
CAKESTORY1_END_MEMORY_DESC;I still have mixed feelings about my brother. I miss the good old days..;Je ressens toujour sun malaise envers mon frère. La bonne époque me manque...
CRIMINAL1_THREAD_SUM_UP;Le Douc wants you to remove a memory of them selling a corporal kit.;Le Douc wants you to remove a memory of them selling a corporal kit.
CRIMINAL1_START_MEMORY_TITLE;Modder;Modeur
CRIMINAL1_START_MEMORY_DESC;I am a modder from an independant colony on the outskirts of the Galactic Union.;Une vie de modeur d'une colonie indépendante sur les bords de l'Union Galactique.
CRIMINAL1_INT1_MEMORY_TITLE;AI Receptacle;Réceptacle IA
CRIMINAL1_INT1_MEMORY_DESC;I sold a receptacle to a client who wanted to implant an AI into it..;J'ai vendu un réceptacle à un client qui voulait y implenter une IA. C'est tout à fait illégal mais ça rapporte gros.
CRIMINAL1_END_MEMORY_TITLE;Business is business;Argent sale
CRIMINAL1_END_MEMORY_DESC;Don't know why they want to give a body to an AI. Don't care.;Je ne sais pas pourquoi ils voudraient donner un corps à une IA et je m'en fiche. C'est de l'argent vite gagné. Mais j'ai la police au aux trousses et je dois effacer le souvenri de la vente si je veux pouvoir échapper aux sondes mémorielles.
FULBERTE1_THREAD_SUM_UP;Mémé Fulberte wants to forget her former friends from the Devotees of Gaia.;Mémé Fulberte vaut oublier ses anciens amis des Devôts de Gaïa
FULBERTE1_START_MEMORY_TITLE;Life in a cult;Vie de culte
FULBERTE1_START_MEMORY_DESC;When I was young, I lived in a Gaia cult on the Earth's satellite.;Quand j'étais jeune, je vivais dans un culte de Gaïa sur le satellite de la Terre.
FULBERTE1_INT1_MEMORY_TITLE;Quiet life;Vie sereine
FULBERTE1_INT1_MEMORY_DESC;It is a quiet life, but I have many friends who care for me.;Je mène une vie tranquille, j'ai beaucoup d'amis avec qui je me sens bien.
FULBERTE1_INT2_MEMORY_TITLE;Love Escapade;Fuite amoureuse
FULBERTE1_INT2_MEMORY_DESC; I fell in love, and ran away with my lover. It was the best time of my life.;Je suis tombée amoureuse and me suis enfui pour iel. J'ai vécu mes plus belles années.
FULBERTE1_END_MEMORY_TITLE;Regrets;Regrets
FULBERTE1_END_MEMORY_DESC;I am happy with my new life, but sometimes I regret abandoning my friends.;Je suis heureuse avec ma vie, mais parfois les regrets d'avoir abandonné mon ancienne famille me submergent.
HARMAGIAN1_THREAD_SUM_UP;Remove traumatic memories of Glenn's encounter with another species.;Remove traumatic memories of Glenn's encounter with another species.
HARMAGIAN1_START_MEMORY_TITLE;Alien encounter;Rencontre alien
HARMAGIAN1_START_MEMORY_DESC;I met with an Harmagian the other day.;J'ai eu affaire à un harmagien il y a quelques jours.
HARMAGIAN1_INT1_MEMORY_TITLE;Alien Mockery;Moquerie alien
HARMAGIAN1_INT1_MEMORY_DESC;This alien mocked my body scent. I felt humiliated..;Cet alien s'est moqué de mon odeur corporelle. Je me suis senti humilié...
HARMAGIAN1_INT2_MEMORY_TITLE;First contact;Contact
HARMAGIAN1_INT2_MEMORY_DESC;My first encounter with an alien was a disaster.;Ma première rencontre avec un alien était un désastre. Je ne comprenais rien.
HARMAGIAN1_INT3_MEMORY_TITLE;Envy;Jalousie
HARMAGIAN1_INT3_MEMORY_DESC; I feel a little jealous of alien technology.;Je me sens jaloux de la technologie des autres espèces.
HARMAGIAN1_END_MEMORY_TITLE;Harmagian hatred;Xenophobie
HARMAGIAN1_END_MEMORY_DESC;I hate Harmagians, and with them all the non-human Sapients.;Je détest les harmagiens, et toutes les espèces sapientes non-humaines.
PICNIC1_THREAD_SUM_UP;Valk wants to forget about their traumatic memories as a Hornbill moderator.;Valk veut oublier du contenu traumatique subi pour son travail de modérateur pour Calao.
PICNIC1_START_MEMORY_TITLE;Money needs;Besoin d'argent
PICNIC1_START_MEMORY_DESC;I need to send money to my family on my home planet. I am desperate for work.;Je dois envoyer de l'argent à ma famille sur ma planète natale. Je suis prêt à prendre n'importe quel travail.
PICNIC1_INT1_MEMORY_TITLE;Hornbill moderator;Modérateur
PICNIC1_INT1_MEMORY_DESC;I work for the Hornbill social media. The pay is ok, but I have to check an endless flow of AI-generated poppycock.;Je travaille pour le réseau social Calao. Le salaire est correct mais je dois surveillé un flow ininterrompu d'absurdités générées par IA.
PICNIC1_INT2_MEMORY_TITLE;Trauma;Traumatisme
PICNIC1_INT2_MEMORY_DESC;[censored];[censuré]
PICNIC1_END_MEMORY_TITLE;Haunted;Hanté
PICNIC1_END_MEMORY_DESC;Alk has PTSD from the trauma he received. He came to you for help.;Alk est atteint d'un stress post-traumatique suite à sa modération. Il vous demande de l'aide.
PICNIC2_THREAD_SUM_UP;Valk wants to forget about their traumatic memories as a Hornbill moderator... again.;Valk veut oublier du contenu traumatique subi pour son travail de modérateur pour Calao... encore.
TUTO1_THREAD_SUM_UP;Amano needs his broken memory to be replaced by a working memory.. ;Amano a besoin que son souvenir endommagé soit remplacé par un souvenir fonctionnel. 
TUTO1_START_MEMORY_TITLE;Bar;Bar
TUTO1_START_MEMORY_DESC;I remember going to the bar.;Je me souviens d'être allé au bar.
TUTO1_INT1_MEMORY_TITLE;[Damaged];[Endommagé]
TUTO1_INT1_MEMORY_DESC;[This memory was partially erased - either by mistake or on purpose. It must be replaced].;[Ce souvenir a été partiellement efffacé - peut-être volontairement. Il faut le remplacer.].
TUTO1_END_MEMORY_TITLE;Lost memory;Amnésie
TUTO1_END_MEMORY_DESC;I don't remember what I did tonight. I feel lost and disoriented.;Je ne me souviens plus de que j'ai fait cette nuit. Je me sens désorienté et confus.
DRUNK_MEMORY_TITLE;Drink abuse;Ivresse
DRUNK_MEMORY_DESC;You drank too much that night. You probably had fun but the consequences were important.;Vous avez trop bu cette nuit. Vous vous êtes probablement amusé mais les conséquences sont douloureuses.
ALIENEMPATHY_MEMORY_TITLE;Alien empathy;Empathie alien
ALIENEMPATHY_MEMORY_DESC;I feel empathy for another Sapient species. We're not alike, but we can feel the same.;Je ressens de l'empathie pour les espèces alien. Nous ne nous ressemblons pas mais nous partageons des sentiments.
ALIENFRIEND_MEMORY_TITLE;Alien friendship;Ami alien
ALIENFRIEND_MEMORY_DESC;I am friend with an alien. Despite our differences, they have always been there for me.;J'ai un.e ami alien. Malgré nos différences, iel a toujours été là pour moi.
ALIENHELP_MEMORY_TITLE;Alien help;Aide alien
ALIENHELP_MEMORY_DESC;When I was in a dire situation, an alien reached out and helped me.;Quand j'étais dans une situation difficile, un.e alien est venu à mon aide.
ROBBED_MEMORY_TITLE;Robbed;Volé
ROBBED_MEMORY_DESC;You were robbed. Some people threatened you and got away with what you owned.;Vous avez été volé. Des individus vous ont menacé et sont partis avec ce qui vous appartenait.
FAMILYFEUD_MEMORY_TITLE;Family Feud;Conflit familial
FAMILYFEUD_MEMORY_DESC;Sometimes, familiy bonds cannot prevent discord among its members. It's always sad on the moment but it can also be a protection for yourself.;Parfois les liens familiaux ne peuvent pas protéger d'une discorde entre ses membres. C'est toujours triste sur le moment, mais peut-être feriez vous mieux de prendre vos distance pour vous protéger.
GATHERING_MEMORY_TITLE;Familial gathering;Fête de famille
GATHERING_MEMORY_DESC;You maybe a small or a large family. Across multiple generation or born together. Bonded by blood or by life, but you were definitely a supportive group at that moment. This gives you strength to go on.;Qu'importe que vous soyez une famille nombreuse ou réduite, traversant les générations ou issus de la même décénie, liés par le sang ou par la vie, vous vous soutenez les uns les autres à ce moment. Cela vous donne la force de continuer.
BIRTHDAYPARTY_MEMORY_TITLE;Birthday Party;Anniversaire
BIRTHDAYPARTY_MEMORY_DESC;A birthday party like no other with loved ones and less loved ones;Une fête d'anniversaire grandiose avec vos proches, et peut-être des moins proches.
PRESENT_MEMORY_TITLE;Present;Cadeau
PRESENT_MEMORY_DESC;I was given the nicest present of my life: a real sized giraffe. I felt so happy I could cry!;On m'a offert le plus beau des cadeaux: une girafe en taille réelle. J'étais si heureux que j'en pleurais !
EMPTY_MEMORY_TITLE;Empty;Vide
EMPTY_MEMORY_DESC;You extracted a memory. What will you use to fill it ?;Vous avez extrait un souvenir. Que mettrez-vous pour le remplacer ?
UNKNOWN_MEMORY_TITLE;Unknown;Indéterminé
UNKNOWN_MEMORY_DESC;You extracted a memory preceding this state. What you'll replace will modify the patient personality and state.;Vous avez modifié un souvenir précédent celui-ci. Ce que vous utiliserez pour le remplacer impactera la personalité et l'état du patient.
BREAKUP_MEMORY_TITLE;Break up;Rupture
BREAKUP_MEMORY_DESC;You broke up with your loved one. Was it imposed or on a coomon ground ? No one knows but what you had ended at that moment.;Vous vous êtes séparé de votre partenaire. Etait-ce subi ou d'un commun accord ? Difficile à dire mais ce que vous aviez construit s'est fini à ce moment.
TENDERNIGHT_MEMORY_TITLE;Tender Night;Nuit tendre
TENDERNIGHT_MEMORY_DESC;That night everything went well. From food to intimacy, evetything was harmonious. Only what was right when it was right. You gained confidence from this. A one night stand or the start oa long story doesn't matter here.;Cette nuit tout s'est bien passé. Que ce soit la nourriture ou l'intimité, vous étiez en harmonie. Seulement ce qu'il vous fallait quand il le fallait. Que ce soit une histoire d'un soir ou le début d'une aventure n'a pas d'importance ici.
CAREERCHANGE_MEMORY_TITLE;Career Change;Réorientation
CAREERCHANGE_MEMORY_DESC;When I was young, I dreamed of being an archivist.;Quand j'étais jeune, je rêvais de devenir archiviste.
DISAPPOINTMENT_MEMORY_TITLE;Disappointment;Déception
DISAPPOINTMENT_MEMORY_DESC;You worked hard but nothing good came from it. You made a mistake, no one cared or someone stole your work. In every case, you've got resentment for your work and maybe your company have some for you too.;Vous avez travaillé dur mais rien de bon n'en est sorti. Votre travail a été ignoré ou réapproprié. Vous avez du ressentiment pour votre travail et peut-être qu'on vous en veux aussi.
PROMOTION_MEMORY_TITLE;Promotion;Promotion
PROMOTION_MEMORY_DESC;I am a good employee, and I know how to code in Tinker. I should ask for a promotion.;Je suis un bon employé et on m'en félicite, j'ai eu un bonus à ce moment.